original,original_year,original_url,remake,remake_year,remake_url
My Favorite Wife,1940,/wiki/My_Favorite_Wife,Something's Got to Give,1962,/wiki/Something%27s_Got_to_Give
My Favorite Wife,1940,/wiki/My_Favorite_Wife,"Move Over, Darling",1963,"/wiki/Move_Over,_Darling"
My Man Godfrey,1936,/wiki/My_Man_Godfrey,My Man Godfrey,1957,/wiki/My_Man_Godfrey_(1957_film)
My Name Is Julia Ross,1945,/wiki/My_Name_Is_Julia_Ross,Dead of Winter,1987,/wiki/Dead_of_Winter_(film)
My Old Dutch,1915,/wiki/My_Old_Dutch_(1915_film),My Old Dutch,1926,/wiki/My_Old_Dutch_(1926_film)
My Sister Eileen,1942,/wiki/My_Sister_Eileen_(1942_film),My Sister Eileen,1955,/wiki/My_Sister_Eileen_(1955_film)
Mystery of the Wax Museum,1933,/wiki/Mystery_of_the_Wax_Museum,House of Wax,1953,/wiki/House_of_Wax_(1953_film)
The Narrow Margin,1952,/wiki/The_Narrow_Margin,Narrow Margin,1990,/wiki/Narrow_Margin
Naukar Wohti Da,1974,/wiki/Naukar_Wohti_Da,Naukar Biwi Ka,1983,/wiki/Naukar_Biwi_Ka
Naukar Wohti Da,1974,/wiki/Naukar_Wohti_Da,Naukar Vahuti Da,2019,/wiki/Naukar_Vahuti_Da
Naadodigal,2009,/wiki/Naadodigal,Shambo Shiva Shambo,2010,/wiki/Shambo_Shiva_Shambo
Naadodigal,2009,/wiki/Naadodigal,Hudugaru,2011,/wiki/Hudugaru
Naadodigal,2009,/wiki/Naadodigal,Ithu Nammude Katha,2011,/wiki/Ithu_Nammude_Katha
Naadodigal,2009,/wiki/Naadodigal,Rangrezz,2013,/wiki/Rangrezz
Nathalie...,2003,/wiki/Nathalie...,Chloe,2009,/wiki/Chloe_(2009_film)
Neuf mois,1994,/wiki/Neuf_mois,Nine Months,1995,/wiki/Nine_Months
Never the Twain Shall Meet,1925,/wiki/Never_the_Twain_Shall_Meet_(1925_film),Never the Twain Shall Meet,1931,/wiki/Never_the_Twain_Shall_Meet_(1931_film)
Night and the City,1950,/wiki/Night_and_the_City,Night and the City,1992,/wiki/Night_and_the_City_(1992_film)
Night Must Fall,1937,/wiki/Night_Must_Fall_(1937_film),Night Must Fall,1964,/wiki/Night_Must_Fall_(1964_film)
Night of the Demons,1988,/wiki/Night_of_the_Demons_(1988_film),Night of the Demons,2009,/wiki/Night_of_the_Demons_(2009_film)
The Night of the Hunter,1955,/wiki/The_Night_of_the_Hunter_(film),Night of the Hunter,1991,/wiki/Night_of_the_Hunter_(1991_film)
Night of the Living Dead,1968,/wiki/Night_of_the_Living_Dead,Night of the Living Dead,1990,/wiki/Night_of_the_Living_Dead_(1990_film)
Night of the Living Dead,1968,/wiki/Night_of_the_Living_Dead,Night of the Living Dead 3D,2006,/wiki/Night_of_the_Living_Dead_3D
A Nightmare on Elm Street,1984,/wiki/A_Nightmare_on_Elm_Street,A Nightmare on Elm Street,2010,/wiki/A_Nightmare_on_Elm_Street_(2010_film)
Nights of Cabiria,1957,/wiki/Nights_of_Cabiria,Sweet Charity,1969,/wiki/Sweet_Charity_(film)
Nightwatch,1994,/wiki/Nightwatch_(1994_film),Nightwatch,1997,/wiki/Nightwatch_(1997_film)
Ninotchka,1939,/wiki/Ninotchka,Silk Stockings,1957,/wiki/Silk_Stockings
Nosferatu,1922,/wiki/Nosferatu,Nosferatu the Vampyre,1979,/wiki/Nosferatu_the_Vampyre
Not of This Earth,1957,/wiki/Not_of_This_Earth_(1957_film),Not of This Earth,1988,/wiki/Not_of_This_Earth_(1988_film)
Not of This Earth,1957,/wiki/Not_of_This_Earth_(1957_film),Not of This Earth,1995,/wiki/Not_of_This_Earth_(1995_film)
Nueve Reinas,2000,/wiki/Nueve_Reinas,Criminal,2004,/wiki/Criminal_(2004_film)
Nueve Reinas,2000,/wiki/Nueve_Reinas,Gulumaal: The Escape,2009,/wiki/Gulumaal:_The_Escape
Nueve Reinas,2000,/wiki/Nueve_Reinas,All the Best,2012,/wiki/All_the_Best_(film)
The Nutty Professor,1963,/wiki/The_Nutty_Professor_(1963_film),The Nutty Professor,1996,/wiki/The_Nutty_Professor_(1996_film)
Nuvvostanante Nenoddantana,2005,/wiki/Nuvvostanante_Nenoddantana,Unakkum Enakkum,2006,/wiki/Unakkum_Enakkum
Nuvvostanante Nenoddantana,2005,/wiki/Nuvvostanante_Nenoddantana,Neenello Naanalle,2006,/wiki/Neenello_Naanalle
Nuvvostanante Nenoddantana,2005,/wiki/Nuvvostanante_Nenoddantana,I Love You,2007,/wiki/I_Love_You_(2007_Bengali_film)
Nuvvostanante Nenoddantana,2005,/wiki/Nuvvostanante_Nenoddantana,Suna Chadhei Mo Rupa Chadhei,2009,/wiki/Suna_Chadhei_Mo_Rupa_Chadhei
Nuvvostanante Nenoddantana,2005,/wiki/Nuvvostanante_Nenoddantana,Tera Mera Ki Rishta,2009,/wiki/Tera_Mera_Ki_Rishta
Nuvvostanante Nenoddantana,2005,/wiki/Nuvvostanante_Nenoddantana,Nissash Amar Tumi,2010,/wiki/Nissash_Amar_Tumi
Nuvvostanante Nenoddantana,2005,/wiki/Nuvvostanante_Nenoddantana,Ramaiya Vastavaiya,2013,/wiki/Ramaiya_Vastavaiya
Ocean's 11,1960,/wiki/Ocean%27s_11,Ocean's Eleven,2001,/wiki/Ocean%27s_Eleven
The Old Dark House,1932,/wiki/The_Old_Dark_House_(1932_film),The Old Dark House,1963,/wiki/The_Old_Dark_House_(1963_film)
Oldboy,2003,/wiki/Oldboy_(2003_film),Oldboy,2013,/wiki/Oldboy_(2013_film)
Oldboy,2003,/wiki/Oldboy_(2003_film),Zinda,2006,/wiki/Zinda_(film)
The Omen,1976,/wiki/The_Omen,The Omen,2006,/wiki/The_Omen_(2006_film)
OMG – Oh My God!,2012,/wiki/OMG_%E2%80%93_Oh_My_God!,Gopala Gopala,2015,/wiki/Gopala_Gopala_(2015_film)
OMG – Oh My God!,2012,/wiki/OMG_%E2%80%93_Oh_My_God!,Mukunda Murari,2016,/wiki/Mukunda_Murari
On the Beach,1959,/wiki/On_the_Beach_(1959_film),On the Beach,2000,/wiki/On_the_Beach_(2000_film)
One Hundred and One Dalmatians,1961,/wiki/One_Hundred_and_One_Dalmatians,101 Dalmatians,1996,/wiki/101_Dalmatians_(1996_film)
The One Million Pound Note,1916,/wiki/The_One_Million_Pound_Note,The One Million Pound Note,1954,/wiki/The_One_Million_Pound_Note
The One Million Pound Note,1916,/wiki/The_One_Million_Pound_Note,A Million to Juan,1994,/wiki/A_Million_to_Juan
One Missed Call,2004,/wiki/One_Missed_Call_(2003_film),One Missed Call,2007,/wiki/One_Missed_Call_(2008_film)
One Sunday Afternoon,1933,/wiki/One_Sunday_Afternoon_(1933_film),The Strawberry Blonde,1941,/wiki/The_Strawberry_Blonde
Open Your Eyes,1997,/wiki/Open_Your_Eyes_(1997_film),Vanilla Sky,2001,/wiki/Vanilla_Sky
Oscar,1967,/wiki/Oscar_(1967_film),Oscar,1991,/wiki/Oscar_(1991_film)
La Otra,1945,/wiki/La_Otra_(film),Dead Ringer,1964,/wiki/Dead_Ringer_(1964_film)
La Otra,1945,/wiki/La_Otra_(film),Killer in the Mirror,1986,
The Out-of-Towners,1970,/wiki/The_Out-of-Towners_(1970_film),The Out-of-Towners,1999,/wiki/The_Out-of-Towners_(1999_film)
Out of the Past,1947,/wiki/Out_of_the_Past,Against All Odds,1984,/wiki/Against_All_Odds_(1984_film)
Outlaw Bound,1930,/wiki/Outward_Bound_(film),Between Two Worlds,1944,/wiki/Between_Two_Worlds_(1944_film)
Outrage,1973,/wiki/Outrage_(1973_film),Outrage,1998,/wiki/Outrage_(1998_film)
Overboard,1987,/wiki/Overboard_(1987_film),Overboard,2018,/wiki/Overboard_(2018_film)
Bazar e Husan,1988,,Pati Patni Aur Tawaif,1990,/wiki/Pati_Patni_Aur_Tawaif
Paid in Full,1914,/wiki/Paid_in_Full_(1914_film),Paid in Full,1919,/wiki/Paid_in_Full_(1919_film)
The Paleface,1948,/wiki/The_Paleface_(1948_film),The Shakiest Gun in the West,1968,/wiki/The_Shakiest_Gun_in_the_West
Panhandle,1948,/wiki/Panhandle_(film),The Texican,1966,/wiki/The_Texican
Papillon,1973,/wiki/Papillon_(1973_film),Papillon,2017,/wiki/Papillon_(2017_film)
Pardon Mon Affaire,1976,/wiki/Pardon_Mon_Affaire,The Woman in Red,1984,/wiki/The_Woman_in_Red_(1984_film)
"Parlor, Bedroom and Bath",1920,"/wiki/Parlor,_Bedroom_and_Bath_(1920_film)","Parlor, Bedroom and Bath",1931,"/wiki/Parlor,_Bedroom_and_Bath_(1931_film)"
The Parent Trap,1961,/wiki/The_Parent_Trap_(1961_film),The Parent Trap,1998,/wiki/The_Parent_Trap_(1998_film)
Passers By,1916,/wiki/Passers_By_(1916_film),Passers By,1920,/wiki/Passers_By_(1920_film)
Pathfinder,1987,/wiki/Pathfinder_(1987_film),Pathfinder,2006,/wiki/Pathfinder_(2007_film)
Pépé le Moko,1937,/wiki/P%C3%A9p%C3%A9_le_Moko,Algiers,1938,/wiki/Algiers_(1938_film)
Le Père Noël est une ordure,1982,/wiki/Le_P%C3%A8re_No%C3%ABl_est_une_ordure,Mixed Nuts,1994,/wiki/Mixed_Nuts
Pete's Dragon,1977,/wiki/Pete%27s_Dragon_(1977_film),Pete's Dragon,2016,/wiki/Pete%27s_Dragon_(2016_film)
Peter Pan,1953,/wiki/Peter_Pan_(1953_film),Peter Pan & Wendy,2023,/wiki/Peter_Pan_%26_Wendy
The Phantom Carriage,1921,/wiki/The_Phantom_Carriage,The Phantom Carriage,1958,/wiki/The_Phantom_Carriage_(1958_film)
The Phantom of the Opera,1925,/wiki/The_Phantom_of_the_Opera_(1925_film),Song at Midnight,1931,/wiki/Song_at_Midnight
The Phantom of the Opera,1925,/wiki/The_Phantom_of_the_Opera_(1925_film),Phantom of the Opera,1943,/wiki/Phantom_of_the_Opera_(1943_film)
The Phantom of the Opera,1925,/wiki/The_Phantom_of_the_Opera_(1925_film),The Phantom of the Opera,1962,/wiki/The_Phantom_of_the_Opera_(1962_film)
The Phantom of the Opera,1925,/wiki/The_Phantom_of_the_Opera_(1925_film),The Phantom of the Opera,1989,/wiki/The_Phantom_of_the_Opera_(1989_film)
The Phantom of the Opera,1925,/wiki/The_Phantom_of_the_Opera_(1925_film),Il fantasma dell'opera,1998,/wiki/The_Phantom_of_the_Opera_(1998_film)
The Philadelphia Story,1940,/wiki/The_Philadelphia_Story_(film),High Society,1956,/wiki/High_Society_(1956_film)
Pink,2016,/wiki/Pink_(2016_film),Nerkonda Paarvai,2019,/wiki/Nerkonda_Paarvai
Pink,2016,/wiki/Pink_(2016_film),Vakeel Saab,2021,/wiki/Vakeel_Saab
Pinocchio,1940,/wiki/Pinocchio_(1940_film),Pinocchio,2022,/wiki/Pinocchio_(2022_live-action_film)
Piranha,1978,/wiki/Piranha_(1978_film),Piranha,1995,/wiki/Piranha_(1995_film)
Piranha,1978,/wiki/Piranha_(1978_film),Piranha 3D,2010,/wiki/Piranha_3D
Planet of the Apes,1968,/wiki/Planet_of_the_Apes_(1968_film),Planet of the Apes,2001,/wiki/Planet_of_the_Apes_(2001_film)
The Plank,1967,/wiki/The_Plank_(1967_film),The Plank,1979,/wiki/The_Plank_(1979_film)
Point Blank,1967,/wiki/Point_Blank_(1967_film),The Outfit,1973,/wiki/The_Outfit_(1973_film)
Point Blank,1967,/wiki/Point_Blank_(1967_film),Payback,1999,/wiki/Payback_(1999_film)
Point Break,1991,/wiki/Point_Break,Point Break,2015,/wiki/Point_Break_(2015_film)
Poltergeist,1982,/wiki/Poltergeist_(1982_film),Poltergeist,2015,/wiki/Poltergeist_(2015_film)
Pokémon: The First Movie,1998,/wiki/Pok%C3%A9mon:_The_First_Movie,Pokémon: Mewtwo Strikes Back—Evolution,2019,/wiki/Pok%C3%A9mon:_Mewtwo_Strikes_Back%E2%80%94Evolution
Pokiri,2006,/wiki/Pokiri_(2006_film),Pokkiri,2007,/wiki/Pokkiri
Pokiri,2006,/wiki/Pokiri_(2006_film),Wanted,2009,/wiki/Wanted_(2009_film)
Pokiri,2006,/wiki/Pokiri_(2006_film),Porki,2010,/wiki/Porki
The Poseidon Adventure,1972,/wiki/The_Poseidon_Adventure_(1972_film),The Poseidon Adventure,2005,/wiki/The_Poseidon_Adventure_(2005_film)
The Poseidon Adventure,1972,/wiki/The_Poseidon_Adventure_(1972_film),Poseidon,2006,/wiki/Poseidon_(film)
Prancer,1989,/wiki/Prancer_(film),Prancer: A Christmas Tale,2022,/wiki/Prancer:_A_Christmas_Tale
A Precocious Girl,1934,/wiki/A_Precocious_Girl,Between Us Girls,1942,/wiki/Between_Us_Girls
Premier rendez-vous,1941,/wiki/Premier_rendez-vous,Ihr erstes Rendezvous [de],1955,/wiki/Ihr_erstes_Rendezvous
Pretty Poison,1968,/wiki/Pretty_Poison_(film),Pretty Poison,1996,/wiki/Pretty_Poison_(film)#Remake
The Prisoner of Zenda,1937,/wiki/The_Prisoner_of_Zenda_(1937_film),The Prisoner of Zenda,1952,/wiki/The_Prisoner_of_Zenda_(1952_film)
The Private War of Major Benson,1955,/wiki/The_Private_War_of_Major_Benson,Major Payne,1995,/wiki/Major_Payne
Profumo di donna,1974,/wiki/Profumo_di_donna,Scent of a Woman,1992,/wiki/Scent_of_a_Woman_(1992_film)
Prom Night,1980,/wiki/Prom_Night_(1980_film),Prom Night,2008,/wiki/Prom_Night_(2008_film)
Psycho,1960,/wiki/Psycho_(1960_film),Psycho,1998,/wiki/Psycho_(1998_film)
Pulse,2001,/wiki/Pulse_(2001_film),Pulse,2006,/wiki/Pulse_(2006_film)
Ransom!,1956,/wiki/Ransom!,Ransom,1996,/wiki/Ransom_(1996_film)
Rashomon,1950,/wiki/Rashomon,The Outrage,1964,/wiki/The_Outrage
Ready,2008,/wiki/Ready_(2008_film),Ready,2011,
Rear Window,1954,/wiki/Rear_Window,Rear Window,1998,/wiki/Rear_Window_(1998_film)
REC,2007,/wiki/REC_(film),Quarantine,2008,/wiki/Quarantine_(2008_film)
Red Dawn,1984,/wiki/Red_Dawn,Red Dawn,2012,/wiki/Red_Dawn_(2012_film)
Red Dust,1932,/wiki/Red_Dust_(1932_film),Mogambo,1953,/wiki/Mogambo
Rendezvous,1935,/wiki/Rendezvous_(1935_film),Pacific Rendezvous,1942,/wiki/Pacific_Rendezvous
Resurrection,1980,/wiki/Resurrection_(1980_film),Resurrection,1999,/wiki/Resurrection_(1980_film)#Television
Retribution,2015,/wiki/Retribution_(2015_film),Hard Hit,2021,/wiki/Hard_Hit
Retribution,2015,/wiki/Retribution_(2015_film),Retribution,2023,/wiki/Retribution_(2023_film)
Ringu,1998,/wiki/Ring_(film),The Ring,2002,/wiki/The_Ring_(2002_film)
RoboCop,1987,/wiki/RoboCop,RoboCop,2014,/wiki/RoboCop_(2014_film)
The Rocky Horror Picture Show,1975,/wiki/The_Rocky_Horror_Picture_Show,The Rocky Horror Picture Show: Let's Do the Time Warp Again,2016,/wiki/The_Rocky_Horror_Picture_Show:_Let%27s_Do_the_Time_Warp_Again
Rollerball,1975,/wiki/Rollerball_(1975_film),Rollerball,2002,/wiki/Rollerball_(2002_film)
Roman Holiday,1953,/wiki/Roman_Holiday,Roman Holiday,1987,/wiki/Roman_Holiday_(1987_film)
The Roman Spring of Mrs. Stone,1961,/wiki/The_Roman_Spring_of_Mrs._Stone,The Roman Spring of Mrs. Stone,2003,/wiki/The_Roman_Spring_of_Mrs._Stone_(2003_film)
Rome Express,1932,/wiki/Rome_Express,Sleeping Car to Trieste,1948,/wiki/Sleeping_Car_to_Trieste
The Room,2003,/wiki/The_Room,The Room Returns!,2023,/wiki/The_Room_Returns!
Ruggles of Red Gap,1935,/wiki/Ruggles_of_Red_Gap,Fancy Pants,1950,/wiki/Fancy_Pants_(film)
Run,2002,/wiki/Run_(2002_film),Run,2004,/wiki/Run_(2004_film)
Runaway Daughters,1956,/wiki/Runaway_Daughters_(1956_film),Runaway Daughters,1994,/wiki/Runaway_Daughters_(1994_film)
Sabrina,1954,/wiki/Sabrina_(1954_film),Sabrina,1995,/wiki/Sabrina_(1995_film)
Sahara,1943,/wiki/Sahara_(1943_American_film),Last of the Comanches,1953,/wiki/Last_of_the_Comanches
Sahara,1943,/wiki/Sahara_(1943_American_film),Sahara,1995,/wiki/Sahara_(1995_film)
Satan's School for Girls,1973,/wiki/Satan%27s_School_for_Girls_(1973_film),Satan's School for Girls,2000,/wiki/Satan%27s_School_for_Girls_(2000_film)
Scandal Makers,2008,/wiki/Scandal_Makers,Scandal Maker,2016,/wiki/Scandal_Maker
Scarface,1932,/wiki/Scarface_(1932_film),Scarface,1983,/wiki/Scarface_(1983_film)
School for Scoundrels,1960,/wiki/School_for_Scoundrels_(1960_film),School for Scoundrels,2006,/wiki/School_for_Scoundrels_(2006_film)
Scooby-Doo,2002,/wiki/Scooby-Doo_(film),Scoob!,2020,/wiki/Scoob!
The Secret Life of Walter Mitty,1947,/wiki/The_Secret_Life_of_Walter_Mitty_(1947_film),The Secret Life of Walter Mitty,2013,/wiki/The_Secret_Life_of_Walter_Mitty_(2013_film)
The Secret in Their Eyes (El secreto de sus ojos),2009,/wiki/The_Secret_in_Their_Eyes,Secret in Their Eyes,2015,/wiki/Secret_in_Their_Eyes
Sentimental Journey,1946,/wiki/Sentimental_Journey_(film),The Gift of Love,1958,/wiki/The_Gift_of_Love
Sentimental Journey,1946,/wiki/Sentimental_Journey_(film),Sentimental Journey,1984,
Sethu,1999,/wiki/Sethu_(film),Huchcha,2001,/wiki/Huchcha
Sethu,1999,/wiki/Sethu_(film),Seshu,2002,/wiki/Seshu
Sethu,1999,/wiki/Sethu_(film),Tere Naam,2003,/wiki/Tere_Naam
Seven Chances,1925,/wiki/Seven_Chances,The Bachelor,1999,/wiki/The_Bachelor_(1999_film)
Seven Samurai,1954,/wiki/Seven_Samurai,The Magnificent Seven,1960,/wiki/The_Magnificent_Seven
Seven Samurai,1954,/wiki/Seven_Samurai,The Magnificent Seven,2016,/wiki/The_Magnificent_Seven_(2016_film)
Shadow of a Doubt,1943,/wiki/Shadow_of_a_Doubt,Step Down to Terror,1958,/wiki/Step_Down_to_Terror
Shadow of a Doubt,1943,/wiki/Shadow_of_a_Doubt,Shadow of a Doubt,1991,/wiki/Shadow_of_a_Doubt_(1991_film)
The Shaggy Dog,1959,/wiki/The_Shaggy_Dog_(1959_film),The Shaggy Dog,1994,/wiki/The_Shaggy_Dog_(1994_film)
The Shaggy Dog,1959,/wiki/The_Shaggy_Dog_(1959_film),The Shaggy Dog,2006,/wiki/The_Shaggy_Dog_(2006_film)
Shall We Dance?,1996,/wiki/Shall_We_Dance%3F_(1996_film),Shall We Dance?,2004,/wiki/Shall_We_Dance%3F_(2004_film)
Shame,1988,/wiki/Shame_(1988_film),Shame,1992,/wiki/Shame_(1988_film)#American_remake
Shanghai Express,1932,/wiki/Shanghai_Express_(film),Night Plane from Chungking,1943,/wiki/Night_Plane_from_Chungking
Shanghai Express,1932,/wiki/Shanghai_Express_(film),Peking Express,1951,/wiki/Peking_Express_(film)
Shiva,1989,/wiki/Shiva_(1989_film),Shiva,1990,/wiki/Shiva_(1990_film)
Shiva,1989,/wiki/Shiva_(1989_film),Shiva,2006,/wiki/Shiva_(2006_film)
Sholay,1975,/wiki/Sholay,Aag,2007,/wiki/Aag_(2007_film)
The Shop Around the Corner,1940,/wiki/The_Shop_Around_the_Corner,In the Good Old Summertime,1949,/wiki/In_the_Good_Old_Summertime
Sideways,2004,/wiki/Sideways,Sideways,2009,/wiki/Sideways_(2009_film)
Sigaw,2004,/wiki/Sigaw,The Echo,2008,/wiki/The_Echo_(2008_film)
Sisters,1973,/wiki/Sisters_(1973_film),Sisters,2006,/wiki/Sisters_(2006_film)
Siworae,2000,/wiki/Il_Mare,The Lake House,2006,/wiki/The_Lake_House_(film)
South Pacific,1958,/wiki/South_Pacific_(1958_film),South Pacific,2001,/wiki/South_Pacific_(2001_film)
Splendor in the Grass,1961,/wiki/Splendor_in_the_Grass,Splendor in the Grass,1981,/wiki/Splendor_in_the_Grass_(1981_film)
Spring Parade,1934,/wiki/Spring_Parade_(1934_film),Spring Parade,1940,/wiki/Spring_Parade
Spring in a Small Town,1948,/wiki/Spring_in_a_Small_Town,Springtime in a Small Town,2002,/wiki/Springtime_in_a_Small_Town
The Squaw Man,1914,/wiki/The_Squaw_Man_(1914_film),The Squaw Man,1918,/wiki/The_Squaw_Man_(1918_film)
The Squaw Man,1914,/wiki/The_Squaw_Man_(1914_film),The Squaw Man,1931,/wiki/The_Squaw_Man_(1931_film)
Stagecoach,1939,/wiki/Stagecoach_(1939_film),Stagecoach,1966,/wiki/Stagecoach_(1966_film)
Stagecoach,1939,/wiki/Stagecoach_(1939_film),Stagecoach,1986,/wiki/Stagecoach_(1986_film)
A Star Is Born,1937,/wiki/A_Star_Is_Born_(1937_film),A Star Is Born,1954,/wiki/A_Star_Is_Born_(1954_film)
A Star Is Born,1937,/wiki/A_Star_Is_Born_(1937_film),A Star Is Born,1976,/wiki/A_Star_Is_Born_(1976_film)
A Star Is Born,1937,/wiki/A_Star_Is_Born_(1937_film),A Star Is Born,2018,/wiki/A_Star_Is_Born_(2018_film)
State Fair,1933,/wiki/State_Fair_(1933_film),State Fair,1945,/wiki/State_Fair_(1945_film)
State Fair,1933,/wiki/State_Fair_(1933_film),State Fair,1962,/wiki/State_Fair_(1962_film)
The Stepfather,1987,/wiki/The_Stepfather_(1987_film),The Stepfather,2009,/wiki/The_Stepfather_(2009_film)
Stepmom,1998,/wiki/Stepmom_(1998_film),We Are Family,2010,/wiki/We_Are_Family_(2010_film)
A Storm in Summer,1970,,A Storm in Summer,2000,/wiki/A_Storm_in_Summer
A Story of Floating Weeds,1934,/wiki/A_Story_of_Floating_Weeds,Floating Weeds,1959,/wiki/Floating_Weeds
Stalin,2006,/wiki/Stalin_(2006_film),Jai Ho,2014,
Strangers on a Train,1951,/wiki/Strangers_on_a_Train_(film),Once You Kiss a Stranger,1969,/wiki/Once_You_Kiss_a_Stranger
Strangers on a Train,1951,/wiki/Strangers_on_a_Train_(film),Once You Meet a Stranger,1996,/wiki/Once_You_Meet_a_Stranger
Straw Dogs,1971,/wiki/Straw_Dogs_(1971_film),Straw Dogs,2011,/wiki/Straw_Dogs_(2011_film)
The Sun Also Rises,1957,/wiki/The_Sun_Also_Rises_(1957_film),The Sun Also Rises,1984,/wiki/The_Sun_Also_Rises_(1984_film)
Suspect X aka Yôgisha X no kenshin,2008,/wiki/Suspect_X,Perfect Number aka Yong-eui-ja X,2012,/wiki/Perfect_Number_(film)
Suspiria,1977,/wiki/Suspiria,Suspiria,2018,/wiki/Suspiria_(2018_film)
Swamp Water,1941,/wiki/Swamp_Water,Lure of the Wilderness,1952,/wiki/Lure_of_the_Wilderness
The Swan,1925,/wiki/The_Swan_(1925_film),The Swan,1956,/wiki/The_Swan_(1956_film)
Sweet November,1968,/wiki/Sweet_November_(1968_film),Sweet November,2001,/wiki/Sweet_November_(2001_film)
Swept Away,1974,/wiki/Swept_Away_(1974_film),Swept Away,2002,/wiki/Swept_Away_(2002_film)
The Taking of Pelham One Two Three,1974,/wiki/The_Taking_of_Pelham_One_Two_Three_(1974_film),The Taking of Pelham One Two Three,1998,/wiki/The_Taking_of_Pelham_One_Two_Three_(1998_film)
The Taking of Pelham One Two Three,1974,/wiki/The_Taking_of_Pelham_One_Two_Three_(1974_film),The Taking of Pelham 123,2009,/wiki/The_Taking_of_Pelham_123_(2009_film)
The Tall Blond Man with One Black Shoe,1972,/wiki/The_Tall_Blond_Man_with_One_Black_Shoe,The Man with One Red Shoe,1985,/wiki/The_Man_with_One_Red_Shoe
Tarzan the Ape Man,1932,/wiki/Tarzan_the_Ape_Man_(1932_film),"Tarzan, the Ape Man",1959,"/wiki/Tarzan,_the_Ape_Man_(1959_film)"
Taxi,1998,/wiki/Taxi_(1998_film),Taxi,2004,/wiki/Taxi_(2004_film)
The Ten Commandments,1923,/wiki/The_Ten_Commandments_(1923_film),The Ten Commandments,1956,/wiki/The_Ten_Commandments_(1956_film)
The Texas Chain Saw Massacre,1974,/wiki/The_Texas_Chain_Saw_Massacre,The Texas Chainsaw Massacre,2003,/wiki/The_Texas_Chainsaw_Massacre_(2003_film)
That Darn Cat!,1965,/wiki/That_Darn_Cat!,That Darn Cat,1997,/wiki/That_Darn_Cat_(1997_film)
Thief of Bagdad,1924,/wiki/The_Thief_of_Bagdad_(1924_film),The Thief of Bagdad,1940,/wiki/The_Thief_of_Bagdad_(1940_film)
Thief of Bagdad,1924,/wiki/The_Thief_of_Bagdad_(1924_film),Baghdad Thirudan,1960,/wiki/Baghdad_Thirudan
Thief of Bagdad,1924,/wiki/The_Thief_of_Bagdad_(1924_film),The Thief of Baghdad,1961,/wiki/The_Thief_of_Baghdad_(1961_film)
Thief of Bagdad,1924,/wiki/The_Thief_of_Bagdad_(1924_film),The Thief of Baghdad,1978,/wiki/The_Thief_of_Baghdad_(1978_film)
The Things of Life,1970,/wiki/The_Things_of_Life,Intersection,1994,/wiki/Intersection_(1994_film)
The Thirteenth Guest,1932,/wiki/The_Thirteenth_Guest,Mystery of the 13th Guest,1943,/wiki/Mystery_of_the_13th_Guest
These Three,1936,/wiki/These_Three,The Children's Hour,1961,/wiki/The_Children%27s_Hour_(film)
Thirupaachi,2005,/wiki/Thirupaachi,Annavaram,2006,/wiki/Annavaram_(film)
This Gun for Hire,1942,/wiki/This_Gun_for_Hire,Short Cut to Hell,1957,/wiki/Short_Cut_to_Hell
This Gun for Hire,1942,/wiki/This_Gun_for_Hire,This Gun for Hire,1991,/wiki/This_Gun_for_Hire_(TV_film)
The Thomas Crown Affair,1968,/wiki/The_Thomas_Crown_Affair_(1968_film),The Thomas Crown Affair,1999,/wiki/The_Thomas_Crown_Affair_(1999_film)
These Three,1936,/wiki/These_Three,The Children's Hour,1961,/wiki/The_Children%27s_Hour_(film)
The Time Machine,1960,/wiki/The_Time_Machine_(1960_film),The Time Machine,2002,/wiki/The_Time_Machine_(2002_film)
To Be or Not to Be,1942,/wiki/To_Be_or_Not_to_Be_(1942_film),To Be or Not to Be,1983,/wiki/To_Be_or_Not_to_Be_(1983_film)
The Toolbox Murders,1978,/wiki/The_Toolbox_Murders,Toolbox Murders,2004,/wiki/Toolbox_Murders
Total Recall,1990,/wiki/Total_Recall_(1990_film),Total Recall,2012,/wiki/Total_Recall_(2012_film)
Tower of London,1939,/wiki/Tower_of_London_(1939_film),Tower of London,1962,/wiki/Tower_of_London_(1962_film)
Trader Horn,1931,/wiki/Trader_Horn_(1931_film),Trader Horn,1973,/wiki/Trader_Horn_(1973_film)
True Grit,1969,/wiki/True_Grit_(1969_film),True Grit,2010,/wiki/True_Grit_(2010_film)
La Totale!,1991,/wiki/La_Totale!,True Lies,1994,/wiki/True_Lies
Le jumeau,1984,/wiki/The_Twin_(1984_film),Two Much,1996,/wiki/Two_Much
Twenty Million Sweethearts,1934,/wiki/Twenty_Million_Sweethearts,My Dream Is Yours,1949,/wiki/My_Dream_Is_Yours
Two Thousand Maniacs!,1964,/wiki/Two_Thousand_Maniacs!,2001 Maniacs,2005,/wiki/2001_Maniacs
Unfaithful,2002,/wiki/Unfaithful_(2002_film),Hawas,2004,/wiki/Hawas_(2004_film)
Unfaithful,2002,/wiki/Unfaithful_(2002_film),Murder,2004,/wiki/Murder_(2004_film)
The Unfaithful Wife,1969,/wiki/The_Unfaithful_Wife,Unfaithful,2002,/wiki/Unfaithful_(2002_film)
